timestamp,Year,Month,Day,Hour,DoY,Tair_f,NEE_f,GPP_f,Reco
2020-01-01 00:00:00,2020,1,1,0.0,1,-1.823,0.93385,0.037139,0.970984
2020-01-01 00:30:00,2020,1,1,0.5,1,-2.031,0.73878,0.21787,0.956651
2020-01-01 01:00:00,2020,1,1,1.0,1,-2.285,1.0592,-0.11984,0.939356
2020-01-01 01:30:00,2020,1,1,1.5,1,-2.342,0.58402,0.35113,0.935153
2020-01-01 02:00:00,2020,1,1,2.0,1,-2.487,0.56388,0.36129,0.925168
2020-01-01 02:30:00,2020,1,1,2.5,1,-2.624,-0.36116,1.2769,0.915751
2020-01-01 03:00:00,2020,1,1,3.0,1,-2.537,1.2168,-0.29578,0.921024
2020-01-01 03:30:00,2020,1,1,3.5,1,-1.915,1.2097,-0.24802,0.961691
2020-01-01 04:00:00,2020,1,1,4.0,1,-1.432,0.68237,0.31119,0.993566
2020-01-01 04:30:00,2020,1,1,4.5,1,-1.27,0.76267,0.24135,1.004019
2020-01-01 05:00:00,2020,1,1,5.0,1,-1.094,1.2346,-0.21917,1.01545
2020-01-01 05:30:00,2020,1,1,5.5,1,-0.888,0.67221,0.35674,1.028957
2020-01-01 06:00:00,2020,1,1,6.0,1,-1.024,0.34704,0.67221,1.019243
2020-01-01 06:30:00,2020,1,1,6.5,1,-1.295,0.49611,0.50435,1.000459
2020-01-01 07:00:00,2020,1,1,7.0,1,-1.295,0.77439,0.2256,0.999991
2020-01-01 07:30:00,2020,1,1,7.5,1,-1.17,0.96147,0.046472,1.007945
2020-01-01 08:00:00,2020,1,1,8.0,1,-1.286,0.65305,0.34661,0.99966
2020-01-01 08:30:00,2020,1,1,8.5,1,-1.213,1.0761,-0.072035,1.004104
2020-01-01 09:00:00,2020,1,1,9.0,1,-1.102,1.081,-0.069924,1.011114
2020-01-01 09:30:00,2020,1,1,9.5,1,-0.677,1.1327,-0.093259,1.039441
2020-01-01 10:00:00,2020,1,1,10.0,1,-0.484,0.91156,0.14056,1.052113
2020-01-01 10:30:00,2020,1,1,10.5,1,1.044,1.9494,-0.79183,1.157592
2020-01-01 11:00:00,2020,1,1,11.0,1,1.784,-0.069543,1.279,1.209447
2020-01-01 11:30:00,2020,1,1,11.5,1,2.028,0.040991,1.1853,1.226296
2020-01-01 12:00:00,2020,1,1,12.0,1,2.259,-0.25296,1.4952,1.242266
2020-01-01 12:30:00,2020,1,1,12.5,1,2.395,-0.014452,1.2659,1.251449
2020-01-01 13:00:00,2020,1,1,13.0,1,2.515,-0.15868,1.4182,1.259491
2020-01-01 13:30:00,2020,1,1,13.5,1,2.657,-0.266,1.5351,1.269129
2020-01-01 14:00:00,2020,1,1,14.0,1,2.702,-0.28132,1.5531,1.271776
2020-01-01 14:30:00,2020,1,1,14.5,1,2.683,-0.27312,1.5429,1.269807
2020-01-01 15:00:00,2020,1,1,15.0,1,2.778,-0.040413,1.3165,1.276058
2020-01-01 15:30:00,2020,1,1,15.5,1,2.652,0.46908,0.7973,1.266377
2020-01-01 16:00:00,2020,1,1,16.0,1,2.447,0.54987,0.70118,1.251054
2020-01-01 16:30:00,2020,1,1,16.5,1,2.47,1.2124,0.039702,1.252112
2020-01-01 17:00:00,2020,1,1,17.0,1,2.773,0.81629,0.457,1.27329
2020-01-01 17:30:00,2020,1,1,17.5,1,2.693,0.53247,0.73446,1.266933
2020-01-01 18:00:00,2020,1,1,18.0,1,2.625,1.0712,0.19024,1.26145
2020-01-01 18:30:00,2020,1,1,18.5,1,2.991,1.1571,0.13008,1.28719
2020-01-01 19:00:00,2020,1,1,19.0,1,3.093,0.96023,0.33371,1.293943
2020-01-01 19:30:00,2020,1,1,19.5,1,3.2,1.2765,0.024522,1.301062
2020-01-01 20:00:00,2020,1,1,20.0,1,3.345,1.4194,-0.1085,1.310938
2020-01-01 20:30:00,2020,1,1,20.5,1,3.454,1.1206,0.19764,1.318216
2020-01-01 21:00:00,2020,1,1,21.0,1,3.642,1.2759,0.055377,1.331237
2020-01-01 21:30:00,2020,1,1,21.5,1,3.687,0.9115,0.42238,1.333876
2020-01-01 22:00:00,2020,1,1,22.0,1,3.697,1.439,-0.10508,1.333969
2020-01-01 22:30:00,2020,1,1,22.5,1,3.739,1.5228,-0.18639,1.336387
2020-01-01 23:00:00,2020,1,1,23.0,1,3.808,1.1874,0.1534,1.340768
2020-01-01 23:30:00,2020,1,1,23.5,1,3.717,1.3204,0.01311,1.33352
2020-01-02 00:00:00,2020,1,2,0.0,2,3.85,1.276,0.066525,1.342545
2020-01-02 00:30:00,2020,1,2,0.5,2,3.751,1.1097,0.22502,1.334718
2020-01-02 01:00:00,2020,1,2,1.0,2,3.591,1.4938,-0.17136,1.322493
2020-01-02 01:30:00,2020,1,2,1.5,2,3.728,1.5042,-0.17238,1.331781
2020-01-02 02:00:00,2020,1,2,2.0,2,3.836,1.3153,0.023645,1.338975
2020-01-02 02:30:00,2020,1,2,2.5,2,3.898,1.7281,-0.38528,1.342834
2020-01-02 03:00:00,2020,1,2,3.0,2,3.983,1.4445,-0.096108,1.348362
2020-01-02 03:30:00,2020,1,2,3.5,2,4.102,1.6241,-0.26776,1.356364
2020-01-02 04:00:00,2020,1,2,4.0,2,4.282,1.4042,-0.035377,1.368813
2020-01-02 04:30:00,2020,1,2,4.5,2,4.445,1.3945,-0.01449,1.38004
2020-01-02 05:00:00,2020,1,2,5.0,2,4.573,1.2013,0.18741,1.388724
2020-01-02 05:30:00,2020,1,2,5.5,2,4.722,1.1972,0.2017,1.398952
2020-01-02 06:00:00,2020,1,2,6.0,2,4.78,0.8563,0.54622,1.402526
2020-01-02 06:30:00,2020,1,2,6.5,2,4.811,1.1307,0.27345,1.404123
2020-01-02 07:00:00,2020,1,2,7.0,2,4.743,1.0598,0.33868,1.398479
2020-01-02 07:30:00,2020,1,2,7.5,2,4.718,1.1937,0.20231,1.395983
2020-01-02 08:00:00,2020,1,2,8.0,2,4.632,1.1488,0.24026,1.389041
2020-01-02 08:30:00,2020,1,2,8.5,2,4.508,1.38,-0.00066361,1.379346
2020-01-02 09:00:00,2020,1,2,9.0,2,4.34,1.0057,0.36073,1.366482
2020-01-02 09:30:00,2020,1,2,9.5,2,4.121,1.5341,-0.18413,1.349967
2020-01-02 10:00:00,2020,1,2,10.0,2,4.11,0.97154,0.37698,1.348524
2020-01-02 10:30:00,2020,1,2,10.5,2,4.271,0.31138,1.0481,1.359518
2020-01-02 11:00:00,2020,1,2,11.0,2,4.492,-0.0077003,1.3826,1.374877
2020-01-02 11:30:00,2020,1,2,11.5,2,4.635,0.18458,1.2,1.384597
2020-01-02 12:00:00,2020,1,2,12.0,2,4.702,0.22906,1.1597,1.3888
2020-01-02 12:30:00,2020,1,2,12.5,2,4.796,0.028992,1.366,1.394965
2020-01-02 13:00:00,2020,1,2,13.0,2,4.982,0.38986,1.018,1.407833
2020-01-02 13:30:00,2020,1,2,13.5,2,5.154,0.47693,0.94277,1.419698
2020-01-02 14:00:00,2020,1,2,14.0,2,5.297,0.36462,1.0648,1.429457
2020-01-02 14:30:00,2020,1,2,14.5,2,5.404,0.95284,0.48375,1.436591
2020-01-02 15:00:00,2020,1,2,15.0,2,5.423,0.79049,0.64679,1.437287
2020-01-02 15:30:00,2020,1,2,15.5,2,5.395,0.097096,1.3375,1.434547
2020-01-02 16:00:00,2020,1,2,16.0,2,5.286,0.99084,0.43505,1.425898
2020-01-02 16:30:00,2020,1,2,16.5,2,5.163,1.5376,-0.1214,1.416248
2020-01-02 17:00:00,2020,1,2,17.0,2,5.109,1.6299,-0.21827,1.411635
2020-01-02 17:30:00,2020,1,2,17.5,2,5.043,1.7613,-0.35513,1.406158
2020-01-02 18:00:00,2020,1,2,18.0,2,5.015,1.3732,0.030235,1.403445
2020-01-02 18:30:00,2020,1,2,18.5,2,4.985,1.4018,-0.0011593,1.400591
2020-01-02 19:00:00,2020,1,2,19.0,2,4.929,1.2538,0.14205,1.395856
2020-01-02 19:30:00,2020,1,2,19.5,2,4.956,1.3101,0.087074,1.397134
2020-01-02 20:00:00,2020,1,2,20.0,2,4.915,1.3671,0.026421,1.393491
2020-01-02 20:30:00,2020,1,2,20.5,2,4.829,0.62544,0.76116,1.386601
2020-01-02 21:00:00,2020,1,2,21.0,2,4.766,1.2387,0.14264,1.381382
2020-01-02 21:30:00,2020,1,2,21.5,2,4.733,0.60084,0.77749,1.378334
2020-01-02 22:00:00,2020,1,2,22.0,2,4.685,0.70485,0.66936,1.374208
2020-01-02 22:30:00,2020,1,2,22.5,2,4.618,0.87762,0.49111,1.368722
2020-01-02 23:00:00,2020,1,2,23.0,2,4.511,-0.11099,1.4714,1.360375
2020-01-02 23:30:00,2020,1,2,23.5,2,4.399,1.445,-0.093342,1.351688
2020-01-03 00:00:00,2020,1,3,0.0,3,4.331,1.0787,0.26744,1.346166
2020-01-03 00:30:00,2020,1,3,0.5,3,4.187,1.3758,-0.040551,1.335229
2020-01-03 01:00:00,2020,1,3,1.0,3,4.106,0.85987,0.46894,1.328807
2020-01-03 01:30:00,2020,1,3,1.5,3,4.098,0.97274,0.35485,1.32759
2020-01-03 02:00:00,2020,1,3,2.0,3,4.093,2.0718,-0.74519,1.326587
2020-01-03 02:30:00,2020,1,3,2.5,3,4.04,1.18,0.14215,1.322173
2020-01-03 03:00:00,2020,1,3,3.0,3,3.917,1.0591,0.25375,1.3128
2020-01-03 03:30:00,2020,1,3,3.5,3,3.58,0.64894,0.6394,1.288337
2020-01-03 04:00:00,2020,1,3,4.0,3,3.22,1.1024,0.16001,1.2624
2020-01-03 04:30:00,2020,1,3,4.5,3,2.907,0.75122,0.48868,1.2399
2020-01-03 05:00:00,2020,1,3,5.0,3,2.559,0.92997,0.28513,1.215099
2020-01-03 05:30:00,2020,1,3,5.5,3,2.27,1.1203,0.074253,1.194523
2020-01-03 06:00:00,2020,1,3,6.0,3,2.018,1.1287,0.047849,1.176599
2020-01-03 06:30:00,2020,1,3,6.5,3,2.071,1.4114,-0.23172,1.179662
2020-01-03 07:00:00,2020,1,3,7.0,3,2.283,1.6869,-0.49323,1.193664
2020-01-03 07:30:00,2020,1,3,7.5,3,2.455,0.88559,0.31935,1.204939
2020-01-03 08:00:00,2020,1,3,8.0,3,2.628,0.56884,0.64747,1.216304
2020-01-03 08:30:00,2020,1,3,8.5,3,2.698,1.223,-0.0024478,1.220552
2020-01-03 09:00:00,2020,1,3,9.0,3,2.816,1.1181,0.11002,1.228128
2020-01-03 09:30:00,2020,1,3,9.5,3,2.796,0.22939,0.99675,1.226139
2020-01-03 10:00:00,2020,1,3,10.0,3,2.896,0.47833,0.75413,1.232467
2020-01-03 10:30:00,2020,1,3,10.5,3,3.158,0.40711,0.84295,1.250061
2020-01-03 11:00:00,2020,1,3,11.0,3,3.501,0.43812,0.83525,1.273369
2020-01-03 11:30:00,2020,1,3,11.5,3,3.789,0.70847,0.58548,1.293951
2020-01-03 12:00:00,2020,1,3,12.0,3,3.981,0.2067,1.1012,1.307861
2020-01-03 12:30:00,2020,1,3,12.5,3,4.123,0.65846,0.65982,1.318284
2020-01-03 13:00:00,2020,1,3,13.0,3,4.213,0.74004,0.58501,1.325055
2020-01-03 13:30:00,2020,1,3,13.5,3,4.233,1.3259,0.00094213,1.326882
2020-01-03 14:00:00,2020,1,3,14.0,3,4.214,-0.13619,1.4621,1.32595
2020-01-03 14:30:00,2020,1,3,14.5,3,4.258,0.71081,0.61867,1.329478
2020-01-03 15:00:00,2020,1,3,15.0,3,4.388,1.0087,0.33045,1.339109
