dates,T tartu mean (oC),T tartu min (oC),T tartu max (oC)
2004-01-01,-4.633333333333334,-6.9,-2.8
2004-01-02,-8.333333333333334,-9.9,-6.9
2004-01-03,-11.245833333333332,-15.0,-8.0
2004-01-04,-6.058333333333331,-11.5,-2.5
2004-01-05,-4.175000000000001,-5.4,-2.3
2004-01-06,-6.429166666666667,-7.9,-5.2
2004-01-07,-8.645833333333334,-10.8,-6.6
2004-01-08,-11.54166666666667,-14.0,-9.7
2004-01-09,-13.199999999999998,-16.2,-10.8
2004-01-10,-12.424999999999999,-15.8,-11.0
2004-01-11,-9.008333333333333,-11.0,-7.9
2004-01-12,-5.6291666666666655,-9.1,-1.9
2004-01-13,-1.8333333333333333,-2.8,-1.2
2004-01-14,-2.495833333333333,-3.7,-1.7
2004-01-15,-1.2083333333333335,-2.9,-0.2
2004-01-16,-5.116666666666666,-7.2,-3.0
2004-01-17,-6.8374999999999995,-10.0,-4.8
2004-01-18,-6.950000000000002,-9.1,-4.3
2004-01-19,-3.8125000000000004,-7.1,-2.0
2004-01-20,-6.6125,-8.9,-4.6
2004-01-21,-12.933333333333335,-16.1,-8.8
2004-01-22,-10.566666666666668,-14.6,-8.0
2004-01-23,-8.829166666666664,-10.7,-7.7
2004-01-24,-13.545833333333334,-16.7,-10.6
2004-01-25,-11.862500000000002,-16.4,-8.7
2004-01-26,-8.729166666666666,-10.2,-7.9
2004-01-27,-7.4375,-9.0,-6.2
2004-01-28,-6.25,-8.5,-4.6
2004-01-29,-5.187499999999999,-6.7,-4.0
2004-01-30,-7.766666666666668,-11.7,-6.1
2004-01-31,-5.133333333333333,-10.4,-2.1
2004-02-01,-1.1000000000000003,-2.6,0.7
2004-02-02,-1.8958333333333337,-3.0,0.3
2004-02-03,-2.2666666666666666,-3.2,-1.3
2004-02-04,1.9541666666666668,-1.6,4.5
2004-02-05,1.5708333333333335,-1.1,3.6
2004-02-06,-0.6666666666666666,-2.9,1.9
2004-02-07,0.2791666666666667,-2.7,1.9
2004-02-08,-3.795833333333333,-4.7,-2.6
2004-02-09,-3.9041666666666663,-9.6,0.2
2004-02-10,-10.587499999999997,-14.5,-5.8
2004-02-11,-13.337499999999997,-15.4,-10.2
2004-02-12,-14.195833333333331,-17.8,-9.7
2004-02-13,-8.429166666666667,-16.7,-4.0
2004-02-14,-0.22083333333333335,-4.0,1.2
2004-02-15,-0.6541666666666666,-1.8,0.1
2004-02-16,-2.7500000000000004,-8.8,-0.1
2004-02-17,-3.6999999999999993,-10.2,-0.7
2004-02-18,-8.795833333333333,-16.6,-1.3
2004-02-19,-15.908333333333331,-21.6,-9.3
2004-02-20,-7.2749999999999995,-16.2,-2.4
2004-02-21,0.07083333333333336,-3.3,3.3
2004-02-22,-4.270833333333333,-6.3,-2.5
2004-02-23,-2.2333333333333334,-4.4,0.6
2004-02-24,-4.904166666666668,-8.0,-2.2
2004-02-25,-3.5833333333333344,-8.0,-1.1
2004-02-26,-1.6083333333333334,-3.7,0.3
2004-02-27,-2.558333333333333,-5.9,-0.7
2004-02-28,-2.845833333333333,-4.9,-0.8
2004-02-29,-4.904166666666667,-11.0,-2.8
2004-03-01,-4.7375,-13.1,-1.5
2004-03-02,-2.308333333333333,-5.3,-0.1
2004-03-03,-5.429166666666666,-8.3,-3.0
2004-03-04,-8.120833333333335,-12.3,-3.3
2004-03-05,-6.133333333333334,-12.3,-1.0
2004-03-06,-2.6999999999999993,-5.3,-0.1
2004-03-07,-0.6458333333333334,-4.1,2.3
2004-03-08,-0.9625,-7.9,3.9
2004-03-09,-2.3500000000000005,-9.6,2.2
2004-03-10,-1.0999999999999999,-7.0,3.8
2004-03-11,-2.9666666666666663,-10.2,5.1
2004-03-12,-1.6375000000000002,-10.1,5.0
2004-03-13,1.4583333333333337,-5.0,7.0
2004-03-14,1.8125,-2.2,5.5
2004-03-15,1.741666666666667,0.4,3.4
2004-03-16,2.9666666666666663,1.8,4.2
2004-03-17,3.283333333333333,0.3,7.5
2004-03-18,3.545833333333333,-0.3,6.4
2004-03-19,3.395833333333334,-2.1,9.1
2004-03-20,3.3958333333333335,1.9,5.2
2004-03-21,1.2999999999999998,0.1,4.9
2004-03-22,1.0833333333333335,0.1,3.6
2004-03-23,2.1041666666666665,0.0,4.8
2004-03-24,2.279166666666667,-0.6,6.5
2004-03-25,1.5416666666666667,0.5,2.7
2004-03-26,0.3333333333333333,-0.8,1.2
2004-03-27,-0.34166666666666656,-1.6,2.6
2004-03-28,0.7833333333333333,-2.4,4.1
2004-03-29,1.4291666666666665,-4.1,6.9
2004-03-30,4.770833333333333,0.0,11.0
2004-03-31,3.783333333333332,-1.8,9.2
2004-04-01,-2.5916666666666672,-5.7,1.2
2004-04-02,-2.6041666666666665,-8.9,2.7
2004-04-03,0.4875000000000002,-7.1,7.3
2004-04-04,3.6999999999999997,-4.9,12.0
2004-04-05,6.220833333333332,-3.3,15.0
2004-04-06,6.4875,1.9,13.4
2004-04-07,7.5666666666666655,0.3,15.5
2004-04-08,6.604166666666667,1.0,13.1
2004-04-09,5.704166666666667,-2.2,12.1
2004-04-10,3.2291666666666665,-0.9,10.6
2004-04-11,4.141666666666667,-2.1,11.0
2004-04-12,3.025,-0.9,8.9
2004-04-13,2.433333333333333,-2.7,8.6
2004-04-14,5.4125000000000005,-4.6,12.7
2004-04-15,7.725000000000001,5.2,12.3
2004-04-16,8.441666666666666,5.0,14.4
2004-04-17,11.525,3.5,17.8
2004-04-18,11.516666666666667,5.9,17.6
2004-04-19,12.570833333333333,5.9,18.0
2004-04-20,13.862499999999999,8.2,18.9
2004-04-21,11.983333333333333,7.3,18.9
2004-04-22,6.929166666666666,2.4,8.9
2004-04-23,6.5541666666666645,-1.1,12.6
2004-04-24,7.462500000000001,2.9,11.9
2004-04-25,6.574999999999999,-0.7,12.1
2004-04-26,5.966666666666668,-1.8,11.8
2004-04-27,4.979166666666667,-1.9,10.8
2004-04-28,4.558333333333332,-1.4,9.7
2004-04-29,4.316666666666667,1.4,7.4
2004-04-30,8.395833333333336,0.5,15.4
2004-05-01,9.112499999999999,1.2,16.9
2004-05-02,12.258333333333331,1.2,19.4
2004-05-03,16.445833333333333,9.4,21.5
2004-05-04,17.291666666666664,11.8,22.4
2004-05-05,19.458333333333332,14.5,25.4
2004-05-06,19.704166666666666,13.0,26.2
2004-05-07,18.370833333333334,11.5,25.1
2004-05-08,17.724999999999998,10.7,25.2
2004-05-09,14.925000000000002,9.9,20.6
2004-05-10,12.941666666666668,7.8,18.1
2004-05-11,6.9416666666666655,2.7,11.7
2004-05-12,4.008333333333332,-1.8,9.2
2004-05-13,3.1374999999999997,-3.5,8.5
2004-05-14,5.175,-2.6,11.3
2004-05-15,6.316666666666666,4.4,7.9
2004-05-16,7.341666666666665,2.6,12.1
2004-05-17,7.695833333333333,-1.0,14.0
2004-05-18,9.629166666666668,5.1,15.4
2004-05-19,10.341666666666667,3.7,16.4
2004-05-20,8.095833333333333,5.3,11.8
2004-05-21,8.637500000000001,3.6,13.6
2004-05-22,8.429166666666667,1.6,13.0
2004-05-23,5.9624999999999995,3.4,9.6
2004-05-24,6.7375,3.0,11.7
2004-05-25,8.033333333333333,2.8,13.2
2004-05-26,11.183333333333332,1.4,16.7
2004-05-27,9.650000000000002,7.2,13.0
2004-05-28,10.883333333333333,6.9,16.2
2004-05-29,11.845833333333333,6.2,18.3
2004-05-30,9.370833333333332,6.0,14.2
2004-05-31,9.829166666666667,4.5,14.0
2004-06-01,10.366666666666667,3.5,15.9
2004-06-02,12.562500000000002,3.4,19.1
2004-06-03,14.012500000000003,5.6,20.1
2004-06-04,16.212500000000002,7.7,22.6
2004-06-05,17.679166666666664,11.2,23.3
2004-06-06,16.787499999999998,11.4,23.1
2004-06-07,15.65,8.4,20.6
2004-06-08,11.1,7.0,14.9
2004-06-09,10.904166666666667,7.1,14.9
2004-06-10,12.699999999999998,5.7,18.6
2004-06-11,14.058333333333332,8.6,18.1
2004-06-12,14.220833333333331,9.8,17.4
2004-06-13,12.575000000000003,9.1,18.1
2004-06-14,11.89583333333333,9.1,14.6
2004-06-15,11.700000000000001,7.5,15.9
2004-06-16,11.679166666666667,6.9,16.4
2004-06-17,11.187500000000002,8.4,15.3
2004-06-18,11.879166666666665,7.8,16.6
2004-06-19,13.633333333333333,7.6,18.8
2004-06-20,14.445833333333331,8.8,19.7
2004-06-21,12.154166666666667,8.0,14.4
2004-06-22,12.916666666666666,10.1,18.7
2004-06-23,14.46666666666667,10.4,19.3
2004-06-24,17.341666666666665,10.3,25.4
2004-06-25,17.620833333333334,13.3,22.8
2004-06-26,17.145833333333336,11.8,23.0
2004-06-27,12.950000000000003,12.1,14.3
2004-06-28,14.56666666666667,11.8,17.6
2004-06-29,14.862500000000002,11.1,19.1
2004-06-30,14.349999999999996,12.8,17.6
2004-07-01,16.012499999999996,12.6,20.1
2004-07-02,16.35,12.9,21.9
2004-07-03,13.204166666666666,11.1,17.8
2004-07-04,15.620833333333332,10.8,22.1
2004-07-05,15.4125,12.2,20.1
2004-07-06,14.433333333333332,10.0,20.0
2004-07-07,13.137499999999998,9.2,18.7
2004-07-08,15.829166666666666,11.0,21.2
2004-07-09,17.829166666666666,9.7,23.0
2004-07-10,17.2625,14.0,23.8
2004-07-11,14.87916666666667,12.3,20.0
2004-07-12,15.999999999999998,10.9,21.3
2004-07-13,14.970833333333333,13.0,17.9
2004-07-14,15.879166666666672,13.4,20.8
2004-07-15,15.245833333333335,11.2,19.4
2004-07-16,15.683333333333335,10.7,21.1
2004-07-17,14.999999999999998,10.0,19.6
2004-07-18,16.9875,9.8,23.6
2004-07-19,19.504166666666666,9.4,25.1
2004-07-20,19.183333333333334,13.8,24.0
2004-07-21,18.66666666666667,12.6,24.1
2004-07-22,20.229166666666668,14.0,24.9
2004-07-23,21.912499999999998,17.8,27.1
