H,HV,HKO,PL,D,ER,PIND,MOODETUD_P,KKT,DBH,H_VALEM,V,S
8.20,2.60,0.00,KS,7.85,10,0.64010,0.64010,JO,7.85,10.694,0.02270,1.2016
18.90,5.90,3.30,KU,20.20,7,1.36565,0.09597,MO,20.20,19.916,0.31732,8.0531
26.10,14.70,9.20,KU,30.25,10,0.64010,0.64010,JO,30.25,23.294,0.90391,15.8536
10.90,4.90,0.50,KU,11.40,10,0.64010,0.64010,JO,11.40,14.352,0.06580,2.7994
16.80,4.60,1.00,KU,23.25,10,0.64010,0.64010,JO,23.25,21.161,0.37236,8.1901
25.80,12.80,9.10,KU,35.55,10,0.64010,0.64010,JO,35.55,24.464,1.19892,18.0354
11.50,4.50,0.40,KU,11.85,7,1.36565,0.09597,MO,11.85,14.741,0.07423,3.0533
9.00,1.70,0.20,KU,9.70,10,0.64010,0.64010,JO,9.70,12.741,0.04091,2.0074
25.10,8.40,0.00,KS,17.40,10,0.64010,0.64010,JO,17.40,18.527,0.26622,8.3081
10.80,2.40,0.40,KU,9.05,10,0.64010,0.64010,JO,9.05,12.059,0.04166,2.2218
25.70,10.00,0.00,KS,19.55,10,0.64010,0.64010,JO,19.55,19.617,0.34371,9.5591
12.40,10.30,1.10,KU,13.55,10,0.64010,0.64010,JO,13.55,16.083,0.10254,3.7220
10.70,7.70,1.00,KU,10.55,10,0.64010,0.64010,JO,10.55,13.576,0.05573,2.5543
17.40,9.10,1.10,KU,18.35,10,0.64010,0.64010,JO,18.35,19.029,0.24580,6.8088
18.40,4.10,0.20,KU,20.40,10,0.64010,0.64010,JO,20.40,20.005,0.31563,7.9212
11.10,5.80,0.80,KU,9.85,10,0.64010,0.64010,JO,9.85,12.893,0.05030,2.4735
11.30,8.90,1.00,KU,10.65,10,0.64010,0.64010,JO,10.65,13.671,0.05944,2.7114
16.20,6.90,0.40,KU,12.65,10,0.64010,0.64010,JO,12.65,15.396,0.11320,4.4807
17.60,9.20,0.00,KS,13.20,10,0.64010,0.64010,JO,13.20,15.822,0.11114,4.4530
7.90,5.40,0.40,KU,7.80,10,0.64010,0.64010,JO,7.80,10.634,0.02177,1.1586
25.10,14.30,8.00,KU,38.30,10,0.64010,0.64010,JO,38.30,24.968,1.33586,18.7039
11.70,6.10,0.70,KU,9.60,10,0.64010,0.64010,JO,9.60,12.639,0.05003,2.5339
13.50,7.40,0.60,KU,13.35,10,0.64010,0.64010,JO,13.35,15.935,0.10717,3.9728
11.70,3.00,0.10,KU,10.15,10,0.64010,0.64010,JO,10.15,13.191,0.05576,2.6738
9.20,4.50,2.50,KU,8.55,7,1.36565,0.09597,MO,8.55,11.507,0.03257,1.8127
19.30,9.50,0.00,TM,16.70,10,0.64010,0.64010,JO,16.70,18.134,0.19653,6.2690
10.60,0.30,0.00,VA,9.20,11,0.88644,0.88644,JO,9.20,12.220,0.03516,1.9083
18.80,4.30,0.00,VA,25.10,10,0.64010,0.64010,JO,25.10,21.809,0.42985,9.0048
14.70,8.50,0.00,KS,9.55,10,0.64010,0.64010,JO,9.55,12.587,0.04997,2.7182
13.20,5.20,0.40,KU,9.85,10,0.64010,0.64010,JO,9.85,12.893,0.05832,2.9070
14.40,7.70,0.40,KU,17.65,10,0.64010,0.64010,JO,17.65,18.662,0.19347,5.4919
18.10,4.60,0.20,KU,20.95,10,0.64010,0.64010,JO,20.95,20.245,0.32704,7.9915
8.00,3.20,0.70,KU,11.85,10,0.64010,0.64010,JO,11.85,14.741,0.05479,2.1849
16.40,9.80,0.40,KU,19.40,10,0.64010,0.64010,JO,19.40,19.546,0.25926,6.7785
13.50,1.80,0.00,VA,9.00,10,0.64010,0.64010,JO,9.00,12.005,0.04123,2.3431
13.81,6.65,0.00,KS,9.75,10,0.64010,0.64010,JO,9.75,12.792,0.04949,2.6185
24.30,7.50,5.70,KU,28.10,10,0.64010,0.64010,JO,28.10,22.724,0.73857,13.8488
10.90,5.90,0.30,KU,10.00,10,0.64010,0.64010,JO,10.00,13.043,0.05101,2.4678
13.00,4.20,0.60,KU,11.45,10,0.64010,0.64010,JO,11.45,14.396,0.07711,3.3121
22.50,9.80,0.00,KS,20.60,10,0.64010,0.64010,JO,20.60,20.093,0.33689,8.8210
13.40,5.10,0.50,KU,12.60,7,1.36565,0.09597,MO,12.60,15.356,0.09525,3.7339
13.60,8.50,0.70,KU,12.95,10,0.64010,0.64010,JO,12.95,15.631,0.10171,3.8862
16.40,9.30,0.00,KS,8.35,10,0.64010,0.64010,JO,8.35,11.280,0.04187,2.6340
16.60,6.30,0.00,KS,11.20,10,0.64010,0.64010,JO,11.20,14.175,0.07610,3.5738
8.50,1.70,0.00,PI,8.90,10,0.64010,0.64010,JO,8.90,11.896,0.02950,1.6019
8.10,1.40,0.40,KU,7.25,10,0.64010,0.64010,JO,7.25,9.958,0.01908,1.0988
16.10,3.00,0.30,KU,14.65,10,0.64010,0.64010,JO,14.65,16.857,0.14934,5.1207
14.20,7.10,0.00,VA,12.00,10,0.64010,0.64010,JO,12.00,14.867,0.07657,3.2789
14.80,4.80,0.70,KU,11.40,10,0.64010,0.64010,JO,11.40,14.352,0.08553,3.7248
16.80,5.70,0.30,KU,17.75,10,0.64010,0.64010,JO,17.75,18.716,0.22371,6.3848
12.80,8.80,0.40,KU,16.00,10,0.64010,0.64010,JO,16.00,17.720,0.14499,4.4865
14.60,6.00,0.00,KS,7.95,10,0.64010,0.64010,JO,7.95,10.813,0.03622,2.0014
15.00,7.90,0.00,KS,8.85,10,0.64010,0.64010,JO,8.85,11.841,0.04364,2.5669
18.20,6.20,0.00,KS,13.40,10,0.64010,0.64010,JO,13.40,15.972,0.11791,4.6678
8.20,2.70,0.30,KU,7.40,10,0.64010,0.64010,JO,7.40,10.145,0.02009,1.1328
16.00,4.60,0.00,KS,9.00,10,0.64010,0.64010,JO,9.00,12.005,0.04764,2.7736
20.50,6.00,0.00,KS,25.10,10,0.64010,0.64010,JO,25.10,21.809,0.45958,9.8096
17.60,6.80,0.00,KS,13.15,10,0.64010,0.64010,JO,13.15,15.784,0.11030,4.4362
7.60,3.30,0.00,LM,7.35,11,0.88644,0.88644,JO,7.35,10.083,0.01869,1.0585
22.10,7.00,0.00,KS,17.20,10,0.64010,0.64010,JO,17.20,18.416,0.23103,7.2359
13.60,3.30,0.00,LM,14.90,11,0.88644,0.88644,JO,14.90,17.024,0.11978,4.0992
10.50,5.40,0.40,KU,8.40,7,1.36565,0.09597,MO,8.40,11.337,0.03516,2.0136
22.10,16.20,1.00,KU,30.65,10,0.64010,0.64010,JO,30.65,23.393,0.79386,13.6370
23.40,17.10,10.00,KU,31.95,7,1.36565,0.09597,MO,31.95,23.702,0.90247,14.9485
6.20,1.80,0.40,KU,7.40,10,0.64010,0.64010,JO,7.40,10.145,0.01622,0.9119
10.50,2.60,0.00,PI,17.50,11,0.88644,0.88644,JO,17.50,18.581,0.13090,3.7370
6.70,1.50,0.00,PI,8.90,11,0.88644,0.88644,JO,8.90,11.896,0.02488,1.3035
23.70,11.20,0.00,KS,16.85,10,0.64010,0.64010,JO,16.85,18.220,0.23652,7.5968
8.30,3.30,0.30,KU,8.80,10,0.64010,0.64010,JO,8.80,11.786,0.03161,1.6954
21.50,11.20,1.50,KU,33.45,10,0.64010,0.64010,JO,33.45,24.036,0.90796,14.3311
7.80,2.20,0.20,KU,9.15,10,0.64010,0.64010,JO,9.15,12.166,0.03240,1.6631
10.40,5.00,0.20,KU,9.30,10,0.64010,0.64010,JO,9.30,12.326,0.04255,2.2027
24.90,5.10,0.00,KS,25.60,10,0.64010,0.64010,JO,25.60,21.973,0.57190,12.1256
9.00,1.40,0.00,PI,8.05,11,0.88644,0.88644,JO,8.05,10.932,0.02522,1.5259
12.70,7.40,0.00,KS,10.75,10,0.64010,0.64010,JO,10.75,13.764,0.05622,2.6723
9.60,3.30,0.00,KS,7.75,10,0.64010,0.64010,JO,7.75,10.574,0.02493,1.3517
9.90,2.90,0.80,KU,9.05,10,0.64010,0.64010,JO,9.05,12.059,0.03871,2.0497
21.10,7.70,0.00,KS,15.85,10,0.64010,0.64010,JO,15.85,17.629,0.18809,6.3716
